;650000;50;;;;;;;;;;;;;;Extraction from forest;;;;;;;;;;
Standing Biomass;;;;;;SOIL;;;;;DEADWOOD;;;;;Timber Vol (m3fub);;;;Pulpwood (m3fub);;;;Biomass (GROT + Stumps);;
Region;Per HA;Example farm;;;;;;;;;Region;Per HA;Example farm;;;Region;Per HA;Example farm;;Region;Per HA;Example farm;;Region;Per HA;Example farm
98987296;152,2881477;7614,407385;;;;58918676,43;90,64411759;4532,20588;;;1659818,205;2,553566469;127,6783235;;;424738,9847;0,653444592;32,67222959;;562395,8606;0,865224401;43,26122005;;626146,0315;0,963301587;48,165
99399111;152,9217092;7646,085462;;;;58951855,95;90,695163;4534,75815;;;1663779,206;2,559660317;127,9830158;;;424738,9847;0,653444592;32,67222959;;562395,8606;0,865224401;43,26122005;;626146,0315;0,963301587;48,165
99810926;153,5552708;7677,763538;;;;58985035,47;90,74620841;4537,310421;;;1667740,207;2,565754164;128,2877082;;;424738,9847;0,653444592;32,67222959;;562395,8606;0,865224401;43,26122005;;626146,0315;0,963301587;48,165
100222741;154,1888323;7709,441615;;;;59018214,99;90,79725382;4539,862691;;;1671701,207;2,571848012;128,5924006;;;318513,7878;0,490021212;24,5010606;;712152,8256;1,095619732;54,78098659;;668145,2555;1,027915778;51,396
98956696;152,2410708;7612,053538;;;;59246435,8;91,14836277;4557,418139;;;1909977,938;2,938427597;146,9213799;;;318513,7878;0,490021212;24,5010606;;712152,8256;1,095619732;54,78098659;;668145,2555;1,027915778;51,396
97690650;150,2933077;7514,665385;;;;59474656,62;91,49947172;4574,973586;;;2148254,669;3,305007183;165,2503592;;;318513,7878;0,490021212;24,5010606;;712152,8256;1,095619732;54,78098659;;668145,2555;1,027915778;51,396
96424604;148,3455446;7417,277231;;;;59702877,43;91,85058066;4592,529033;;;2386531,4;3,671586769;183,5793385;;;318513,7878;0,490021212;24,5010606;;712152,8256;1,095619732;54,78098659;;668145,2555;1,027915778;51,396
95158559;146,3977831;7319,889154;;;;59931098,25;92,20168961;4610,08448;;;2624808,131;4,038166355;201,9083178;;;318513,7878;0,490021212;24,5010606;;712152,8256;1,095619732;54,78098659;;668145,2555;1,027915778;51,396
93892513;144,45002;7222,501;;;;60159319,06;92,55279855;4627,639928;;;2863084,862;4,404745941;220,237297;;;373070,9184;0,573955259;28,69776295;;401201,9269;0,617233734;30,86168669;;458689,8658;0,705676717;35,284
94954353;146,08362;7304,181;;;;60102085,16;92,46474639;4623,23732;;;2856326,654;4,394348698;219,7174349;;;373070,9184;0,573955259;28,69776295;;401201,9269;0,617233734;30,86168669;;458689,8658;0,705676717;35,284
96016192;147,7172185;7385,860923;;;;60044851,25;92,37669423;4618,834712;;;2849568,446;4,383951456;219,1975728;;;373070,9184;0,573955259;28,69776295;;401201,9269;0,617233734;30,86168669;;458689,8658;0,705676717;35,284
97078032;149,3508185;7467,540923;;;;59987617,35;92,28864207;4614,432104;;;2842810,239;4,373554214;218,6777107;;;373070,9184;0,573955259;28,69776295;;401201,9269;0,617233734;30,86168669;;458689,8658;0,705676717;35,284
98139872;150,9844185;7549,220923;;;;59930383,44;92,20058991;4610,029496;;;2836052,031;4,363156971;218,1578486;;;373070,9184;0,573955259;28,69776295;;401201,9269;0,617233734;30,86168669;;458689,8658;0,705676717;35,284
99201712;152,6180185;7630,900923;;;;59873149,54;92,11253775;4605,626888;;;2829293,824;4,352759729;217,6379864;;;529190,4771;0,814139195;40,70695977;;447486,1257;0,688440193;34,42200967;;590029,5781;0,907737812;45,387
99867507;153,6423185;7682,115923;;;;59899606,6;92,15324093;4607,662046;;;2799249,542;4,306537757;215,3268878;;;529190,4771;0,814139195;40,70695977;;447486,1257;0,688440193;34,42200967;;590029,5781;0,907737812;45,387
100533303;154,66662;7733,331;;;;59926063,66;92,1939441;4609,697205;;;2769205,26;4,260315785;213,0157892;;;529190,4771;0,814139195;40,70695977;;447486,1257;0,688440193;34,42200967;;590029,5781;0,907737812;45,387
101199099;155,6909215;7784,546077;;;;59952520,73;92,23464727;4611,732364;;;2739160,979;4,214093813;210,7046907;;;529190,4771;0,814139195;40,70695977;;447486,1257;0,688440193;34,42200967;;590029,5781;0,907737812;45,387
101864895;156,7152231;7835,761154;;;;59978977,79;92,27535044;4613,767522;;;2709116,697;4,167871841;208,3935921;;;529190,4771;0,814139195;40,70695977;;447486,1257;0,688440193;34,42200967;;590029,5781;0,907737812;45,387
102530690;157,7395231;7886,976154;;;;60005434,85;92,31605362;4615,802681;;;2679072,415;4,12164987;206,0824935;;;515819,6163;0,79356864;39,67843202;;503613,4577;0,774789935;38,73949675;;625924,6446;0,962960992;48,148
103010531;158,47774;7923,887;;;;60146873,52;92,53365157;4626,682579;;;2649755,736;4,076547287;203,8273643;;;515819,6163;0,79356864;39,67843202;;503613,4577;0,774789935;38,73949675;;625924,6446;0,962960992;48,148
103490371;159,2159554;7960,797769;;;;60288312,19;92,75124953;4637,562476;;;2620439,057;4,031444704;201,5722352;;;515819,6163;0,79356864;39,67843202;;503613,4577;0,774789935;38,73949675;;625924,6446;0,962960992;48,148
